KeyId,TournamentId,tournament Name,MatchId,MatchName,StageName,GroupName,GroupStage,KnockoutStage,Replayed,Replay,MatchDate,MatchTime,StadiumId,StadiumName,CityName,CountryName,HomeTeamId,HomeTeamName,HomeTeamCode,AwayTeamId,AwayTeamName,AwayTeamCode,Score,HomeTeamScore,AwayTeamScore,HomeTeamScoreMargin,AwayTeamScoreMargin,ExtraTime,PenaltyShootout,ScorePenalties,HomeTeamScorePenalties,AwayTeamScorePenalties,Result,HomeTeamWin,AwayTeamWin,Draw
1,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,group stage,Group 1,True,False,False,False,1930-07-13,15:00:00,S-193,Estadio Pocitos,Montevideo,Uruguay,T-28,France,FRA,T-44,Mexico,MEX,41,4,1,3,-3,False,False,0-0,0,0,home team win,True,False,False
2,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,group stage,Group 4,True,False,False,False,1930-07-13,15:00:00,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-80,United States,USA,T-06,Belgium,BEL,30,3,0,3,-3,False,False,0-0,0,0,home team win,True,False,False
3,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,group stage,Group 2,True,False,False,False,1930-07-14,12:45:00,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-84,Yugoslavia,YUG,T-09,Brazil,BRA,21,2,1,1,-1,False,False,0-0,0,0,home team win,True,False,False
4,WC-1930,1930 FIFA World Cup,M-1930-04,Romania v Peru,group stage,Group 3,True,False,False,False,1930-07-14,14:50:00,S-193,Estadio Pocitos,Montevideo,Uruguay,T-59,Romania,ROU,T-54,Peru,PER,31,3,1,2,-2,False,False,0-0,0,0,home team win,True,False,False
5,WC-1930,1930 FIFA World Cup,M-1930-05,Argentina v France,group stage,Group 1,True,False,False,False,1930-07-15,16:00:00,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-03,Argentina,ARG,T-28,France,FRA,10,1,0,1,-1,False,False,0-0,0,0,home team win,True,False,False
6,WC-1930,1930 FIFA World Cup,M-1930-06,Chile v Mexico,group stage,Group 1,True,False,False,False,1930-07-16,14:45:00,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-13,Chile,CHL,T-44,Mexico,MEX,30,3,0,3,-3,False,False,0-0,0,0,home team win,True,False,False
7,WC-1930,1930 FIFA World Cup,M-1930-07,Yugoslavia v Bolivia,group stage,Group 2,True,False,False,False,1930-07-17,12:45:00,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-84,Yugoslavia,YUG,T-07,Bolivia,BOL,40,4,0,4,-4,False,False,0-0,0,0,home team win,True,False,False
8,WC-1930,1930 FIFA World Cup,M-1930-08,United States v Paraguay,group stage,Group 4,True,False,False,False,1930-07-17,14:45:00,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-80,United States,USA,T-53,Paraguay,PRY,30,3,0,3,-3,False,False,0-0,0,0,home team win,True,False,False
9,WC-1930,1930 FIFA World Cup,M-1930-09,Uruguay v Peru,group stage,Group 3,True,False,False,False,1930-07-18,14:30:00,S-191,Estadio Centenario,Montevideo,Uruguay,T-81,Uruguay,URY,T-54,Peru,PER,10,1,0,1,-1,False,False,0-0,0,0,home team win,True,False,False
10,WC-1930,1930 FIFA World Cup,M-1930-10,Chile v France,group stage,Group 1,True,False,False,False,1930-07-19,12:50:00,S-191,Estadio Centenario,Montevideo,Uruguay,T-13,Chile,CHL,T-28,France,FRA,10,1,0,1,-1,False,False,0-0,0,0,home team win,True,False,False
11,WC-1930,1930 FIFA World Cup,M-1930-11,Argentina v Mexico,group stage,Group 1,True,False,False,False,1930-07-19,15:00:00,S-191,Estadio Centenario,Montevideo,Uruguay,T-03,Argentina,ARG,T-44,Mexico,MEX,63,6,3,3,-3,False,False,0-0,0,0,home team win,True,False,False
12,WC-1930,1930 FIFA World Cup,M-1930-12,Brazil v Bolivia,group stage,Group 2,True,False,False,False,1930-07-20,13:00:00,S-191,Estadio Centenario,Montevideo,Uruguay,T-09,Brazil,BRA,T-07,Bolivia,BOL,40,4,0,4,-4,False,False,0-0,0,0,home team win,True,False,False
13,WC-1930,1930 FIFA World Cup,M-1930-13,Paraguay v Belgium,group stage,Group 4,True,False,False,False,1930-07-20,15:00:00,S-191,Estadio Centenario,Montevideo,Uruguay,T-53,Paraguay,PRY,T-06,Belgium,BEL,10,1,0,1,-1,False,False,0-0,0,0,home team win,True,False,False
14,WC-1930,1930 FIFA World Cup,M-1930-14,Uruguay v Romania,group stage,Group 3,True,False,False,False,1930-07-21,14:50:00,S-191,Estadio Centenario,Montevideo,Uruguay,T-81,Uruguay,URY,T-59,Romania,ROU,40,4,0,4,-4,False,False,0-0,0,0,home team win,True,False,False
15,WC-1930,1930 FIFA World Cup,M-1930-15,Argentina v Chile,group stage,Group 1,True,False,False,False,1930-07-22,14:45:00,S-191,Estadio Centenario,Montevideo,Uruguay,T-03,Argentina,ARG,T-13,Chile,CHL,31,3,1,2,-2,False,False,0-0,0,0,home team win,True,False,False
16,WC-1930,1930 FIFA World Cup,M-1930-16,Argentina v United States,semi-finals,not applicable,False,True,False,False,1930-07-26,14:45:00,S-191,Estadio Centenario,Montevideo,Uruguay,T-03,Argentina,ARG,T-80,United States,USA,61,6,1,5,-5,False,False,0-0,0,0,home team win,True,False,False
